epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,106.593,2.09087,4.11538,0.01829,0.41695,0.43724,0.37814,0.12182,2.36336,2.25343,0.03338,0.00994898,0.00331633,0.00994898,0.00331633,0.00994898,0.00331633,0.00994898,0.00331633
2,193.114,1.87576,2.04584,0.01583,0.53029,0.39035,0.38173,0.15257,2.23184,2.09436,0.03217,0.0198831,0.00662772,0.0198831,0.00662772,0.0198831,0.00662772,0.0198831,0.00662772
3,280.699,1.93026,2.06946,0.01636,0.32371,0.3036,0.25199,0.10345,2.30712,3.72877,0.03307,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711
4,367.211,1.95434,2.12731,0.01708,0.42591,0.40804,0.36155,0.16019,2.28073,2.23576,0.03285,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,451.289,1.91881,2.01109,0.01695,0.45773,0.33446,0.27611,0.11882,2.295,3.58024,0.03573,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,535.31,1.89939,1.95888,0.01639,0.5193,0.54825,0.52588,0.23665,2.00907,1.65061,0.02534,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,619.475,1.88261,1.87425,0.01608,0.48518,0.48245,0.45695,0.19297,2.11116,2.22785,0.02861,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,702.702,1.85063,1.87953,0.01583,0.51922,0.48171,0.48693,0.21888,2.0201,1.97829,0.02699,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,785.882,1.8591,1.81776,0.01531,0.59362,0.54775,0.56023,0.27118,1.91414,1.55139,0.02367,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,868.92,1.84935,1.7808,0.01564,0.58729,0.5524,0.55923,0.2587,1.96409,1.50489,0.02446,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,953.907,1.80028,1.73586,0.01532,0.62729,0.54605,0.56936,0.26423,2.00384,1.80777,0.02615,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1037.52,1.80708,1.72833,0.01559,0.6559,0.57936,0.61373,0.29478,1.91052,1.36297,0.02441,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1122.04,1.8128,1.72342,0.01509,0.59682,0.5624,0.57951,0.27625,1.9336,1.61715,0.02436,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1205.19,1.83335,1.69322,0.01501,0.63725,0.58146,0.60658,0.30399,1.84808,1.35166,0.02257,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1288.65,1.83302,1.66579,0.01509,0.6335,0.60137,0.63211,0.31132,1.86545,1.30015,0.0228,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1374.36,1.80165,1.6401,0.0148,0.58167,0.54394,0.53987,0.25749,1.944,1.50999,0.02541,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1459.41,1.80239,1.63714,0.01487,0.6309,0.62002,0.64314,0.32322,1.83731,1.26864,0.02226,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1543.98,1.78798,1.60964,0.0145,0.65683,0.61189,0.64568,0.31748,1.86555,1.22233,0.02265,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1628.74,1.76812,1.61124,0.01432,0.62505,0.59924,0.62664,0.32124,1.82469,1.33561,0.0226,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1711.53,1.81386,1.63145,0.01445,0.67034,0.62043,0.6563,0.33525,1.81156,1.22301,0.02203,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1795.59,1.76285,1.59912,0.01439,0.65831,0.63114,0.66401,0.33708,1.84197,1.22555,0.02295,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1878.55,1.7774,1.58353,0.01405,0.67326,0.62307,0.66723,0.33848,1.8086,1.20387,0.0219,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1962.25,1.7937,1.60002,0.01414,0.65785,0.64159,0.66797,0.34109,1.79225,1.23068,0.02158,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2047.61,1.76083,1.56654,0.01419,0.67345,0.63689,0.676,0.34718,1.79781,1.19689,0.02165,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2131.61,1.75929,1.56966,0.01442,0.6564,0.62934,0.6633,0.34154,1.78458,1.22902,0.02131,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2216.5,1.76189,1.57037,0.01394,0.68896,0.6425,0.68535,0.34993,1.78527,1.13942,0.02126,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2300.6,1.76356,1.53458,0.01401,0.67801,0.65567,0.68753,0.35929,1.78756,1.14456,0.02133,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2385.98,1.76535,1.50879,0.01393,0.70166,0.64319,0.68921,0.35758,1.78158,1.15174,0.02148,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2471.37,1.731,1.52102,0.01419,0.70687,0.64907,0.69757,0.36661,1.76843,1.1364,0.02128,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,2555.5,1.7406,1.53269,0.01431,0.69089,0.64499,0.68874,0.36591,1.74218,1.1422,0.02044,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,2639.75,1.75079,1.51133,0.01403,0.70101,0.65626,0.6996,0.36934,1.74424,1.11536,0.0207,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,2723.43,1.73814,1.52173,0.01396,0.68622,0.66933,0.69998,0.36722,1.76892,1.14731,0.0214,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2807.38,1.73636,1.49165,0.01365,0.68963,0.6658,0.70016,0.36943,1.75256,1.11617,0.02067,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,2891.51,1.74966,1.50888,0.01354,0.6926,0.66833,0.70149,0.36762,1.76138,1.13837,0.02084,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,2975.03,1.73047,1.50789,0.01409,0.70206,0.6659,0.70768,0.3774,1.72854,1.10383,0.0203,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3059.19,1.75011,1.51543,0.01366,0.71074,0.66175,0.70665,0.37625,1.73779,1.14296,0.02083,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3143.61,1.71202,1.47026,0.01381,0.71833,0.67454,0.71932,0.38553,1.70549,1.06599,0.0199,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3227.15,1.72259,1.46746,0.01381,0.71251,0.67129,0.71817,0.38541,1.72213,1.0634,0.02053,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3309.94,1.74714,1.44044,0.01345,0.72033,0.67287,0.72311,0.39169,1.70269,1.06925,0.0198,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3393.45,1.71918,1.44381,0.01359,0.71216,0.68048,0.72342,0.3892,1.71004,1.05633,0.0201,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3476.27,1.70211,1.43805,0.01373,0.73861,0.67548,0.7291,0.39213,1.70886,1.04518,0.0198,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3557.79,1.72708,1.43972,0.0136,0.7223,0.68563,0.7307,0.39704,1.70239,1.01121,0.01965,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3638.74,1.69776,1.41697,0.01352,0.72997,0.67914,0.72813,0.39519,1.70028,1.05725,0.01967,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3719.63,1.70578,1.42145,0.01314,0.71465,0.69291,0.73153,0.39745,1.69322,1.06588,0.01958,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3801.49,1.71594,1.42168,0.01341,0.72922,0.69437,0.74043,0.40318,1.68623,1.02383,0.01954,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3886.2,1.7042,1.43837,0.01338,0.72614,0.69673,0.74182,0.40246,1.68891,1.02583,0.01952,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,3968.92,1.70139,1.3939,0.01352,0.72343,0.70281,0.7471,0.40866,1.67742,1.00379,0.01929,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4053.54,1.70052,1.41471,0.0135,0.72987,0.68955,0.73685,0.40573,1.6687,1.04973,0.01908,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4143.7,1.72311,1.44432,0.01326,0.72635,0.7039,0.7492,0.41036,1.66546,1.00606,0.01903,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4232.32,1.72038,1.39169,0.01325,0.73428,0.70396,0.75281,0.41506,1.65553,0.98928,0.01896,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,4320.78,1.68429,1.37331,0.01316,0.73122,0.7059,0.7501,0.41379,1.65768,0.99776,0.01889,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,4408.08,1.71409,1.36717,0.01333,0.73971,0.70667,0.75043,0.41353,1.65442,0.98691,0.01883,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,4496.14,1.69682,1.37332,0.01323,0.74012,0.71396,0.756,0.41812,1.65698,0.9678,0.01892,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,4583.75,1.67373,1.39474,0.01348,0.7361,0.71214,0.75548,0.42021,1.6438,0.99458,0.01872,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,4664.26,1.68278,1.37502,0.01367,0.7377,0.70973,0.75531,0.41895,1.646,0.97962,0.0186,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,4745.85,1.67707,1.37646,0.01333,0.74024,0.71033,0.75514,0.41872,1.65568,0.97414,0.0188,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,4829.85,1.69454,1.37654,0.01318,0.74331,0.71597,0.75903,0.42364,1.64226,0.95957,0.01864,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,4913.28,1.688,1.33708,0.01261,0.75002,0.72125,0.75991,0.42404,1.63748,0.95889,0.01858,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,4996.83,1.67766,1.37011,0.01348,0.75202,0.7201,0.76403,0.42833,1.62777,0.9515,0.01841,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,5083.61,1.68433,1.35146,0.0134,0.74889,0.72419,0.76312,0.42812,1.62462,0.95271,0.01829,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,5168.89,1.71013,1.35252,0.01286,0.74151,0.72464,0.76398,0.42954,1.6191,0.95733,0.01834,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,5253.61,1.69026,1.33898,0.0129,0.76036,0.71718,0.76709,0.43077,1.62234,0.9512,0.01837,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,5338.19,1.69205,1.33992,0.01288,0.75369,0.72461,0.7687,0.43125,1.62616,0.94614,0.01841,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,5423.45,1.65919,1.3247,0.01324,0.75413,0.72594,0.76756,0.43107,1.62468,0.95086,0.01831,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,5504.67,1.65509,1.31672,0.01305,0.75093,0.72727,0.76751,0.43053,1.62495,0.95605,0.01834,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,5586.1,1.67225,1.30876,0.0128,0.74291,0.73434,0.77061,0.43246,1.62278,0.94912,0.01832,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,5670.01,1.65933,1.29371,0.01336,0.75331,0.73188,0.77105,0.43345,1.62064,0.94081,0.01829,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,5754.38,1.67477,1.32201,0.01299,0.74896,0.73075,0.77081,0.4342,1.61942,0.94165,0.01829,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,5837.74,1.6712,1.32147,0.01299,0.75249,0.73051,0.77147,0.43533,1.61609,0.93842,0.01821,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,5922.67,1.66467,1.29716,0.01284,0.7587,0.72561,0.77334,0.43737,1.61547,0.93354,0.01817,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,6006.22,1.65862,1.28698,0.01289,0.75702,0.73183,0.7742,0.43799,1.61434,0.93101,0.01815,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,6090.29,1.66794,1.29873,0.01314,0.76192,0.72894,0.77477,0.43904,1.61202,0.93058,0.0181,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,6174.67,1.67912,1.28272,0.013,0.75712,0.73155,0.77525,0.43928,1.60911,0.93237,0.01807,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,6258.66,1.66561,1.28301,0.01257,0.75954,0.73103,0.77417,0.43968,1.6053,0.93344,0.01799,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,6341.48,1.64133,1.28422,0.0131,0.76504,0.732,0.77601,0.44015,1.60369,0.92686,0.01796,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,6425.16,1.64278,1.25794,0.01285,0.76431,0.73317,0.77512,0.44112,1.60172,0.92203,0.01792,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,6508.72,1.64171,1.27415,0.0125,0.76408,0.73405,0.77585,0.44228,1.59982,0.92105,0.01786,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,6592.15,1.63139,1.25634,0.01305,0.76531,0.73548,0.77595,0.44223,1.59734,0.92377,0.01782,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,6674.72,1.64429,1.27247,0.01313,0.76484,0.73958,0.77736,0.44304,1.59614,0.92126,0.01779,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,6754.83,1.67042,1.27987,0.01261,0.76866,0.73687,0.77729,0.44361,1.5943,0.92605,0.01778,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,6834.77,1.64519,1.2348,0.01237,0.76504,0.73914,0.77744,0.4439,1.59418,0.92549,0.01778,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,6914.69,1.66601,1.26883,0.01277,0.7673,0.73796,0.77764,0.44487,1.59244,0.92487,0.01775,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,6995.46,1.64616,1.24486,0.01268,0.76471,0.74053,0.77832,0.44546,1.59112,0.92138,0.01774,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,7077.87,1.65743,1.25107,0.01268,0.76279,0.74388,0.7796,0.44565,1.58823,0.92379,0.01772,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,7159.81,1.6454,1.2395,0.0127,0.76383,0.74268,0.77942,0.44623,1.58689,0.9226,0.0177,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,7240.57,1.66956,1.26061,0.01242,0.76167,0.74729,0.77976,0.44673,1.58588,0.92224,0.01768,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,7323.9,1.66601,1.26516,0.01215,0.75868,0.74796,0.78047,0.44636,1.58271,0.92261,0.0176,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,7410.07,1.63154,1.25168,0.01283,0.76186,0.74578,0.77979,0.44658,1.58185,0.92288,0.01759,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,7493.14,1.62357,1.22078,0.01281,0.76081,0.74508,0.78081,0.44673,1.58119,0.9225,0.01758,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,7578.35,1.65148,1.23334,0.01253,0.76071,0.74419,0.78083,0.44657,1.58284,0.9203,0.01762,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,7665.82,1.63451,1.23362,0.01258,0.76298,0.74447,0.78148,0.44737,1.58251,0.91716,0.01763,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,7753.87,1.64165,1.2385,0.01236,0.76229,0.74527,0.78163,0.44795,1.58129,0.91629,0.01761,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,7843.49,1.63122,1.22866,0.01252,0.76489,0.74323,0.78098,0.44793,1.58098,0.91543,0.01762,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,7930.12,1.62437,1.21997,0.01208,0.75892,0.74719,0.78083,0.44811,1.58107,0.91446,0.0176,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,8019.97,1.64231,1.21505,0.01248,0.76039,0.74575,0.7801,0.44816,1.58076,0.91318,0.0176,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,8109.29,1.62396,1.19979,0.01256,0.76461,0.74406,0.78022,0.44809,1.57807,0.91556,0.01756,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,8193.56,1.63594,1.2272,0.01246,0.7597,0.74515,0.7798,0.44842,1.57727,0.91575,0.01754,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,8274.75,1.63505,1.22391,0.01254,0.76064,0.74559,0.77963,0.44871,1.57686,0.91512,0.01754,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,8358.06,1.64429,1.20608,0.01187,0.76213,0.74527,0.78012,0.44875,1.57628,0.91507,0.01752,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,8440.01,1.62505,1.19211,0.01241,0.76131,0.74392,0.77988,0.44914,1.57543,0.91422,0.01751,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,8522.39,1.63616,1.22117,0.01216,0.76247,0.74587,0.78035,0.44975,1.57456,0.91397,0.01748,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,8603.67,1.60865,1.19143,0.01259,0.76381,0.74475,0.78033,0.44967,1.57368,0.91389,0.01746,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,8684.41,1.6149,1.189,0.0124,0.76679,0.74389,0.78049,0.44986,1.57281,0.91443,0.01745,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,8766.84,1.63535,1.18271,0.01222,0.77143,0.74082,0.78103,0.4507,1.5712,0.91419,0.01743,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,8852.06,1.63507,1.19088,0.01218,0.76548,0.74576,0.78131,0.45054,1.57112,0.91395,0.01743,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,8935.08,1.6231,1.19156,0.01205,0.76407,0.74773,0.78167,0.45094,1.56993,0.91281,0.01742,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,9018.38,1.59836,1.18796,0.01254,0.76614,0.74584,0.78197,0.45084,1.56879,0.91313,0.0174,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,9099.66,1.589,1.16943,0.01209,0.76492,0.74582,0.78187,0.45103,1.56901,0.91168,0.01741,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,9181.15,1.62131,1.21152,0.01219,0.76794,0.74608,0.78233,0.45131,1.56826,0.91233,0.01741,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,9266.54,1.60714,1.18134,0.01217,0.76889,0.74596,0.78234,0.45151,1.56739,0.91143,0.0174,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,9352.92,1.62723,1.18398,0.01229,0.76896,0.74655,0.78207,0.45157,1.5684,0.90901,0.01743,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,9435.72,1.58504,1.18014,0.01255,0.76733,0.74716,0.78189,0.45144,1.56853,0.9068,0.01743,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,9516.13,1.59939,1.16886,0.01232,0.76805,0.74508,0.7817,0.45147,1.56855,0.90594,0.01743,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,9596.67,1.59146,1.14713,0.01241,0.7669,0.74637,0.78164,0.45147,1.568,0.90718,0.01741,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,9675.8,1.62079,1.17584,0.0121,0.77192,0.7461,0.78213,0.45164,1.56875,0.90268,0.01742,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,9754.55,1.60816,1.17919,0.01205,0.77048,0.7462,0.78228,0.45203,1.56939,0.89932,0.01745,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,9833.65,1.6069,1.1681,0.01202,0.7694,0.74779,0.78271,0.45199,1.56987,0.89847,0.01745,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,9912.44,1.60554,1.1651,0.01196,0.76891,0.74878,0.78256,0.45222,1.57022,0.89533,0.01745,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,9991.45,1.60924,1.15827,0.01211,0.77178,0.74728,0.78276,0.45239,1.56934,0.89596,0.01744,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,10070.8,1.595,1.17956,0.01221,0.77472,0.74656,0.78318,0.45224,1.56802,0.89565,0.01743,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,10150.9,1.58069,1.14467,0.01239,0.77347,0.74708,0.78377,0.45286,1.56754,0.89769,0.01743,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,10234.7,1.60292,1.17571,0.01231,0.77338,0.7463,0.7834,0.45268,1.56718,0.89724,0.01743,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,10318.8,1.58765,1.13936,0.01202,0.77213,0.7474,0.78367,0.45263,1.56687,0.89627,0.01742,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,10403.1,1.60886,1.14929,0.01197,0.76762,0.75076,0.78356,0.45249,1.56656,0.89642,0.01741,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,10486.8,1.5889,1.1413,0.01214,0.7693,0.74863,0.7834,0.45271,1.56672,0.89474,0.01741,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,10569.7,1.5726,1.13741,0.0122,0.77044,0.75027,0.78358,0.45309,1.56658,0.89347,0.01741,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,10649.9,1.59056,1.15432,0.01208,0.77146,0.75017,0.784,0.45283,1.56562,0.89366,0.0174,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,10731.3,1.60683,1.13142,0.01182,0.77113,0.75151,0.78366,0.45303,1.56512,0.89313,0.01739,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,10813.9,1.58666,1.12783,0.01185,0.77062,0.75244,0.78371,0.45294,1.56441,0.89281,0.01739,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,10894.4,1.57645,1.11346,0.01214,0.77275,0.7496,0.78366,0.45325,1.56386,0.89331,0.01738,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,10973.6,1.56625,1.1074,0.01232,0.77274,0.75063,0.78364,0.45308,1.56333,0.89387,0.01737,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,11052.5,1.59696,1.12709,0.01157,0.77599,0.75061,0.7851,0.45343,1.5632,0.89301,0.01737,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,11131.4,1.56779,1.10974,0.01187,0.77329,0.75051,0.78534,0.4538,1.56323,0.89108,0.01737,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,11210.4,1.5845,1.13562,0.01195,0.77508,0.75087,0.78553,0.45402,1.56298,0.88981,0.01737,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,11289.4,1.58474,1.13332,0.01201,0.77605,0.74931,0.78575,0.45431,1.56254,0.88923,0.01737,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,11368.6,1.57009,1.11061,0.01153,0.77428,0.75072,0.78537,0.4545,1.56177,0.88896,0.01736,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,11447.3,1.59653,1.13495,0.01194,0.77493,0.75115,0.78538,0.45469,1.56127,0.88901,0.01736,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
